Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
295.0,20.80821917808196,1.0,1.0,1.0,100.0
296.0,20.810958904109356,1.0,1.0,1.0,100.0
297.0,20.813698630136752,1.0,1.0,1.0,100.0
298.0,20.81643835616415,1.0,1.0,1.0,100.0
299.0,20.819178082191545,1.0,1.0,1.0,100.0
300.0,20.82191780821894,1.0,1.0,1.0,100.0
301.0,20.824657534246338,1.0,1.0,1.0,100.0
302.0,20.827397260273735,1.0,1.0,1.0,100.0
303.0,20.83013698630113,1.0,1.0,1.0,100.0
304.0,20.832876712328527,1.0,1.0,1.0,100.0
305.0,20.835616438355924,1.0,1.0,1.0,100.0
306.0,20.83835616438332,1.0,1.0,1.0,100.0
307.0,20.841095890410717,1.0,1.0,1.0,100.0
308.0,20.843835616438113,1.0,1.0,1.0,100.0
309.0,20.84657534246551,1.0,1.0,1.0,100.0
310.0,20.849315068492906,1.0,1.0,1.0,100.0
311.0,20.852054794520303,1.0,1.0,1.0,100.0
312.0,20.8547945205477,1.0,1.0,1.0,100.0
313.0,20.857534246575096,1.0,1.0,1.0,100.0
314.0,20.860273972602492,1.0,1.0,1.0,100.0
315.0,20.86301369862989,1.0,1.0,1.0,100.0
316.0,20.865753424657285,1.0,1.0,1.0,100.0
317.0,20.86849315068468,1.0,1.0,1.0,100.0
318.0,20.871232876712078,1.0,1.0,1.0,100.0
319.0,20.873972602739475,1.0,1.0,1.0,100.0
320.0,20.87671232876687,1.0,1.0,1.0,100.0
321.0,20.879452054794267,1.0,1.0,1.0,100.0
322.0,20.882191780821664,1.0,1.0,1.0,100.0
323.0,20.88493150684906,1.0,1.0,1.0,100.0
324.0,20.887671232876457,1.0,1.0,1.0,100.0
325.0,20.890410958903853,1.0,1.0,1.0,100.0
326.0,20.89315068493125,1.0,1.0,1.0,100.0
327.0,20.895890410958646,1.0,1.0,1.0,100.0
328.0,20.898630136986043,1.0,1.0,1.0,100.0
329.0,20.90136986301344,1.0,1.0,1.0,100.0
330.0,20.904109589040836,1.0,1.0,1.0,100.0
331.0,20.906849315068232,1.0,1.0,1.0,100.0
332.0,20.90958904109563,1.0,1.0,1.0,100.0
333.0,20.912328767123025,1.0,1.0,1.0,100.0
334.0,20.91506849315042,1.0,1.0,1.0,100.0
335.0,20.917808219177818,1.0,1.0,1.0,100.0
336.0,20.920547945205215,1.0,1.0,1.0,100.0
337.0,20.92328767123261,1.0,1.0,1.0,100.0
338.0,20.926027397260007,1.0,1.0,1.0,100.0
339.0,20.928767123287404,1.0,1.0,1.0,100.0
340.0,20.9315068493148,1.0,1.0,1.0,100.0
341.0,20.934246575342197,1.0,1.0,1.0,100.0
342.0,20.936986301369593,1.0,1.0,1.0,100.0
343.0,20.93972602739699,1.0,1.0,1.0,100.0
344.0,20.942465753424386,1.0,1.0,1.0,100.0
345.0,20.945205479451783,1.0,1.0,1.0,100.0
346.0,20.94794520547918,1.0,1.0,1.0,100.0
347.0,20.950684931506576,1.0,1.0,1.0,100.0
348.0,20.953424657533972,1.0,1.0,1.0,100.0
