Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
166.0,18.454794520547814,1.0,1.0,1.0,84.08906567789803
167.0,18.45753424657521,1.0,1.0,1.0,84.15681334757777
168.0,18.460273972602607,1.0,1.0,1.0,84.22410830987367
169.0,18.463013698630004,1.0,1.0,1.0,84.29117650745792
170.0,18.4657534246574,1.0,1.0,1.0,84.35642321018229
171.0,18.468493150684797,1.0,1.0,1.0,84.42331307113355
172.0,18.471232876712193,1.0,1.0,1.0,84.4887195485044
173.0,18.47397260273959,1.0,1.0,1.0,84.55430755795882
174.0,18.476712328766986,1.0,1.0,1.0,84.61954167159855
175.0,18.479452054794383,1.0,1.0,1.0,84.68573561966858
176.0,18.48219178082178,1.0,1.0,1.0,84.75289948542277
177.0,18.484931506849176,1.0,1.0,1.0,84.82004971989386
178.0,18.487671232876572,1.0,1.0,1.0,84.88546582113376
179.0,18.49041095890397,1.0,1.0,1.0,84.95119966731131
180.0,18.493150684931365,1.0,1.0,1.0,85.01691741702072
181.0,18.49589041095876,1.0,1.0,1.0,85.08309197549865
182.0,18.498630136986158,1.0,1.0,1.0,85.1505645855015
183.0,18.501369863013554,1.0,1.0,1.0,85.21667018647258
184.0,18.50410958904095,1.0,1.0,1.0,85.2835180180202
185.0,18.506849315068347,1.0,1.0,1.0,85.34904400373237
186.0,18.509589041095744,1.0,1.0,1.0,85.41610603893581
187.0,18.51232876712314,1.0,1.0,1.0,85.48312681978352
188.0,18.515068493150537,1.0,1.0,1.0,85.54908532736735
189.0,18.517808219177933,1.0,1.0,1.0,85.61619999160403
190.0,18.52054794520533,1.0,1.0,1.0,85.68358289042793
191.0,18.523287671232726,1.0,1.0,1.0,85.74949196937071
192.0,18.526027397260123,1.0,1.0,1.0,85.81503440573852
193.0,18.52876712328752,1.0,1.0,1.0,85.88237776032418
194.0,18.531506849314916,1.0,1.0,1.0,85.94821092822431
195.0,18.534246575342312,1.0,1.0,1.0,86.01640678817151
196.0,18.53698630136971,1.0,1.0,1.0,86.08361019952703
197.0,18.539726027397105,1.0,1.0,1.0,86.15086205437184
198.0,18.5424657534245,1.0,1.0,1.0,86.21575622342648
199.0,18.545205479451898,1.0,1.0,1.0,86.2828722956102
200.0,18.547945205479294,1.0,1.0,1.0,86.34978465475339
201.0,18.55068493150669,1.0,1.0,1.0,86.416627495053
202.0,18.553424657534087,1.0,1.0,1.0,86.4832989051292
203.0,18.556164383561484,1.0,1.0,1.0,86.55052777827511
204.0,18.55890410958888,1.0,1.0,1.0,86.61666774230542
205.0,18.561643835616277,1.0,1.0,1.0,86.68433228287971
206.0,18.564383561643673,1.0,1.0,1.0,86.75070050257266
207.0,18.56712328767107,1.0,1.0,1.0,86.8176638590189
208.0,18.569863013698466,1.0,1.0,1.0,86.88386656847119
209.0,18.572602739725863,1.0,1.0,1.0,86.95105638227
210.0,18.57534246575326,1.0,1.0,1.0,87.01789507746538
211.0,18.578082191780656,1.0,1.0,1.0,87.08427274389868
212.0,18.580821917808052,1.0,1.0,1.0,87.15095528296516
213.0,18.58356164383545,1.0,1.0,1.0,87.21714938336284
214.0,18.586301369862845,1.0,1.0,1.0,87.28279385156416
215.0,18.58904109589024,1.0,1.0,1.0,87.34923859665341
216.0,18.591780821917638,1.0,1.0,1.0,87.41622772928427
217.0,18.594520547945034,1.0,1.0,1.0,87.48196633177443
218.0,18.59726027397243,1.0,1.0,1.0,87.54974413910126
219.0,18.599999999999827,1.0,1.0,1.0,87.61678134288049
220.0,18.602739726027224,1.0,1.0,1.0,87.68406996269016
221.0,18.60547945205462,1.0,1.0,1.0,87.74975811578669
222.0,18.608219178082017,1.0,1.0,1.0,87.81594463474875
223.0,18.610958904109413,1.0,1.0,1.0,87.88287416560452
224.0,18.61369863013681,1.0,1.0,1.0,87.94983764591493
225.0,18.616438356164206,1.0,1.0,1.0,88.01748981521101
226.0,18.619178082191603,1.0,1.0,1.0,88.08335186031378
227.0,18.621917808219,1.0,1.0,1.0,88.15001961065659
228.0,18.624657534246396,1.0,1.0,1.0,88.21748062295691
229.0,18.627397260273792,1.0,1.0,1.0,88.28534726774794
230.0,18.63013698630119,1.0,1.0,1.0,88.35202096761626
231.0,18.632876712328585,1.0,1.0,1.0,88.41808915719655
232.0,18.63561643835598,1.0,1.0,1.0,88.48459120447613
233.0,18.638356164383378,1.0,1.0,1.0,88.55071533324653
234.0,18.641095890410774,1.0,1.0,1.0,88.6169946941108
235.0,18.64383561643817,1.0,1.0,1.0,88.68405130870644
236.0,18.646575342465567,1.0,1.0,1.0,88.75083670864808
237.0,18.649315068492964,1.0,1.0,1.0,88.8170750044077
238.0,18.65205479452036,1.0,1.0,1.0,88.88481393236475
239.0,18.654794520547757,1.0,1.0,1.0,88.95072316000916
240.0,18.657534246575153,1.0,1.0,1.0,89.01889638128813
241.0,18.66027397260255,1.0,1.0,1.0,89.08565366661124
242.0,18.663013698629946,1.0,1.0,1.0,89.1529106507188
243.0,18.665753424657343,1.0,1.0,1.0,89.21915736052256
244.0,18.66849315068474,1.0,1.0,1.0,89.28530203538598
